yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,7488463,31.17,-7.33,17.925141963241547,-78.01492950057497
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,23589,31.17,-7.33,43.897683433510366,-100.08947125585888
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,10877,31.17,-7.33,40.12399607988535,20.742583178432696
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,12284280,31.17,-7.33,6.06272746187266,22.727528470146083
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,310532,31.17,-7.33,,
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,14903699,31.17,-7.33,47.92172048214207,7.866753258497997
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,World,World,35854458,31.17,-7.33,,
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Mauritania, Mauritania,829887,31.17,-7.33,,
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Oman, Oman,117,31.17,-7.33,,
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,2872,31.17,-7.33,,
2008,2008,Export,Morocco,11,Products of the milling industry; malt; starches; inulin,Yemen, Yemen,142,31.17,-7.33,,
