yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Import,Qatar,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2606849230.0,,25.3336984,51.2295295,-36.8535712,174.7456809
2017,2017.0,Import,Qatar,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3208.0,,25.3336984,51.2295295,41.000028,19.9999619
2017,2017.0,Import,Qatar,Argentina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37293.0,,25.3336984,51.2295295,-34.9964963,-64.9672817
2017,2017.0,Import,Qatar,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14362296.0,,25.3336984,51.2295295,-24.7761086,134.755
2017,2017.0,Import,Qatar,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18298073.0,,25.3336984,51.2295295,47.59397,14.12456
2017,2017.0,Import,Qatar,Bahrain,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",36345.0,,25.3336984,51.2295295,26.1551249,50.5344606
2017,2017.0,Import,Qatar,Bangladesh,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7489.0,,25.3336984,51.2295295,24.4769288,90.2934413
2017,2017.0,Import,Qatar,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11457163.0,,25.3336984,51.2295295,50.6402809,4.6667145
2017,2017.0,Import,Qatar,Bosnia Herzegovina,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",29187.0,,25.3336984,51.2295295,44.3053476,17.5961467
2017,2017.0,Import,Qatar,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",106426841.0,,25.3336984,51.2295295,-10.3333333,-53.2
2017,2017.0,Import,Qatar,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",109699.0,,25.3336984,51.2295295,42.6073975,25.4856617
2017,2017.0,Import,Qatar,Burundi,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",192307.0,,25.3336984,51.2295295,-3.426449,29.9324519
2017,2017.0,Import,Qatar,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8290.0,,25.3336984,51.2295295,53.4250605,27.6971358
2017,2017.0,Import,Qatar,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",11769539.0,,25.3336984,51.2295295,61.0666922,-107.991707
2017,2017.0,Import,Qatar,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13365.0,,25.3336984,51.2295295,7.5554942,80.7137847
2017,2017.0,Import,Qatar,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",94914981.0,,25.3336984,51.2295295,35.000074,104.999927
2017,2017.0,Import,Qatar,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",666.0,,25.3336984,51.2295295,4.099917,-72.9088133
2017,2017.0,Import,Qatar,Costa Rica,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13214.0,,25.3336984,51.2295295,10.2735633,-84.0739102
2017,2017.0,Import,Qatar,Croatia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1860.0,,25.3336984,51.2295295,45.5643442,17.0118954
2017,2017.0,Import,Qatar,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6440224.0,,25.3336984,51.2295295,49.7439047,15.3381061
2017,2017.0,Import,Qatar,Denmark,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",413100.0,,25.3336984,51.2295295,55.670249,10.3333283
2017,2017.0,Import,Qatar,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",73306.0,,25.3336984,51.2295295,58.7523778,25.3319078
2017,2017.0,Import,Qatar,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",98596.0,,25.3336984,51.2295295,63.2467777,25.9209164
2017,2017.0,Import,Qatar,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54064065.0,,25.3336984,51.2295295,46.603354,1.8883335
2017,2017.0,Import,Qatar,Georgia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",30692.0,,25.3336984,51.2295295,32.3293809,-83.1137366
2017,2017.0,Import,Qatar,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",456215286.0,,25.3336984,51.2295295,51.1638175,10.4478313
2017,2017.0,Import,Qatar,Greece,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26937.0,,25.3336984,51.2295295,38.9953683,21.9877132
2017,2017.0,Import,Qatar,"China, Hong Kong SAR",87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",26413.0,,25.3336984,51.2295295,22.350627,114.1849161
2017,2017.0,Import,Qatar,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5723427.0,,25.3336984,51.2295295,47.1817585,19.5060937
2017,2017.0,Import,Qatar,Indonesia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20893681.0,,25.3336984,51.2295295,-2.4833826,117.8902853
2017,2017.0,Import,Qatar,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",341734.0,,25.3336984,51.2295295,32.6475314,54.5643516
2017,2017.0,Import,Qatar,Iraq,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6401.0,,25.3336984,51.2295295,33.0955793,44.1749775
2017,2017.0,Import,Qatar,Ireland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",115378.0,,25.3336984,51.2295295,52.865196,-7.9794599
2017,2017.0,Import,Qatar,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",54647988.0,,25.3336984,51.2295295,42.6384261,12.674297
2017,2017.0,Import,Qatar,Japan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",900049891.0,,25.3336984,51.2295295,36.5748441,139.2394179
2017,2017.0,Import,Qatar,Jordan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3837.0,,25.3336984,51.2295295,31.1667049,36.941628
2017,2017.0,Import,Qatar,Rep. of Korea,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",92220653.0,,25.3336984,51.2295295,,
2017,2017.0,Import,Qatar,Kuwait,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1962263.0,,25.3336984,51.2295295,29.2733964,47.4979476
2017,2017.0,Import,Qatar,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8689.0,,25.3336984,51.2295295,33.8750629,35.843409
2017,2017.0,Import,Qatar,Latvia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3917.0,,25.3336984,51.2295295,56.8406494,24.7537645
2017,2017.0,Import,Qatar,Lithuania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",7407.0,,25.3336984,51.2295295,55.3500003,23.7499997
