yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,198931,31.1667049,36.941628,37.977378106878206,73.97804075806764
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,882,31.1667049,36.941628,51.67568633314729,27.673469819741847
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Egypt,Egypt,37454,31.1667049,36.941628,,
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,21856,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,41107,31.1667049,36.941628,59.36075159783851,25.01346951967388
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,69862,31.1667049,36.941628,40.12399607988535,20.742583178432696
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,61454,31.1667049,36.941628,26.42921218083572,52.86847103284948
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,23322,31.1667049,36.941628,47.92172048214207,7.866753258497997
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,1363119,31.1667049,36.941628,,
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Cyprus, Cyprus,14831,31.1667049,36.941628,,
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Pakistan, Pakistan,67197,31.1667049,36.941628,,
2011,2011,Import,Jordan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,United Arab Emirates, United Arab Emirates,286,31.1667049,36.941628,,
