yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,287734,25.62,42.35,-16.85099460447687,133.4130365630627
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,2459737,25.62,42.35,37.977378106878206,73.97804075806764
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,357333,25.62,42.35,51.67568633314729,27.673469819741847
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,8593077,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,308000,25.62,42.35,17.925141963241547,-78.01492950057497
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,12136549,25.62,42.35,43.897683433510366,-100.08947125585888
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,4585340,25.62,42.35,59.36075159783851,25.01346951967388
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,56000,25.62,42.35,10.528384761701911,103.08333472012376
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,2756803,25.62,42.35,25.499703063807168,75.5024015339642
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,6832274,25.62,42.35,40.12399607988535,20.742583178432696
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1102935,25.62,42.35,6.06272746187266,22.727528470146083
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1293335,25.62,42.35,26.42921218083572,52.86847103284948
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,9315478,25.62,42.35,47.92172048214207,7.866753258497997
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,83255304,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,1348268,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,60533,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,199200,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Morocco, Morocco,36800,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,149334,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,6051741,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,9612279,25.62,42.35,,
2004,2004,Import,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,64267,25.62,42.35,,
