yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,28226,-12.2045176,44.2832964,-16.85099460447687,133.4130365630627
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,1534,-12.2045176,44.2832964,37.977378106878206,73.97804075806764
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,60859,-12.2045176,44.2832964,,
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,936307,-12.2045176,44.2832964,10.528384761701911,103.08333472012376
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,15879,-12.2045176,44.2832964,40.12399607988535,20.742583178432696
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,703595,-12.2045176,44.2832964,6.06272746187266,22.727528470146083
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,2061689,-12.2045176,44.2832964,47.92172048214207,7.866753258497997
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,World,World,5652523,-12.2045176,44.2832964,,
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,19748,-12.2045176,44.2832964,,
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Pakistan, Pakistan,16183,-12.2045176,44.2832964,,
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1574254,-12.2045176,44.2832964,,
2012,2012,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,15788,-12.2045176,44.2832964,,
