yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,388561,20.2540382,-9.2399263,37.977378106878206,73.97804075806764
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,886,20.2540382,-9.2399263,43.897683433510366,-100.08947125585888
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,10089,20.2540382,-9.2399263,10.528384761701911,103.08333472012376
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,90156,20.2540382,-9.2399263,40.12399607988535,20.742583178432696
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,5505,20.2540382,-9.2399263,6.06272746187266,22.727528470146083
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,68023,20.2540382,-9.2399263,,
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,4477,20.2540382,-9.2399263,26.42921218083572,52.86847103284948
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,227783,20.2540382,-9.2399263,47.92172048214207,7.866753258497997
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,917349,20.2540382,-9.2399263,,
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,105768,20.2540382,-9.2399263,,
2011,2011,Import,Mauritania,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,16102,20.2540382,-9.2399263,,
