yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,60433,-12.2045176,44.2832964,37.977378106878206,73.97804075806764
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,16984,-12.2045176,44.2832964,51.67568633314729,27.673469819741847
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,20408,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,356,-12.2045176,44.2832964,17.925141963241547,-78.01492950057497
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,1163429,-12.2045176,44.2832964,10.528384761701911,103.08333472012376
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,679000,-12.2045176,44.2832964,6.06272746187266,22.727528470146083
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,45686,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1805760,-12.2045176,44.2832964,47.92172048214207,7.866753258497997
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;,World,World,5405217,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;, Pakistan, Pakistan,32010,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,1214051,-12.2045176,44.2832964,,
2013,2013,Import,Comoros,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,35742,-12.2045176,44.2832964,,
