yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,295420,16.3471243,47.8915271,-16.85099460447687,133.4130365630627
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,23865,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,494298,16.3471243,47.8915271,51.67568633314729,27.673469819741847
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,100,16.3471243,47.8915271,,
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,751,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,113888,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,309373,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,6024,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,120,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,154237,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,World,World,1994385,16.3471243,47.8915271,,
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,52775,16.3471243,47.8915271,,
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,131265,16.3471243,47.8915271,,
2008,2008,Re-Export,Yemen,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,35929,16.3471243,47.8915271,,
