yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,827,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,347430,29.2733964,47.4979476,,
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Bahrain, Bahrain,32036,29.2733964,47.4979476,,
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Iraq, Iraq,2729,29.2733964,47.4979476,,
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,11065,29.2733964,47.4979476,,
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,196500,29.2733964,47.4979476,,
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,72992,29.2733964,47.4979476,,
2016,2016,Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,31279,29.2733964,47.4979476,,
