yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Australia and New Zealand,Oceania,136019,38.9597594,34.9249653,-16.85099460447687,133.4130365630627
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,195,38.9597594,34.9249653,39.89317229901691,61.060280637304274
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,6011537,38.9597594,34.9249653,37.977378106878206,73.97804075806764
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,3449220,38.9597594,34.9249653,51.67568633314729,27.673469819741847
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Latin America and the Caribbean,Americas,595964,38.9597594,34.9249653,17.925141963241547,-78.01492950057497
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Africa,Africa,178295,38.9597594,34.9249653,19.569604022535763,12.47761721199581
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,2912050,38.9597594,34.9249653,43.897683433510366,-100.08947125585888
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,2294658,38.9597594,34.9249653,59.36075159783851,25.01346951967388
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,South-eastern Asia,Asia,140228,38.9597594,34.9249653,10.528384761701911,103.08333472012376
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Asia,Asia,237830,38.9597594,34.9249653,25.499703063807168,75.5024015339642
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,1969772,38.9597594,34.9249653,40.12399607988535,20.742583178432696
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,11098,38.9597594,34.9249653,26.42921218083572,52.86847103284948
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,4230259,38.9597594,34.9249653,47.92172048214207,7.866753258497997
2007,2007,Import,Turkey,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,28250267,38.9597594,34.9249653,,
