yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2016,2016.0,Re-Export,Georgia,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",182738679.0,,32.3293809,-83.1137366,-36.8535712,174.7456809
2016,2016.0,Re-Export,Georgia,Albania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5892.0,,32.3293809,-83.1137366,41.000028,19.9999619
2016,2016.0,Re-Export,Georgia,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",52478894.0,,32.3293809,-83.1137366,40.3936294,47.7872508
2016,2016.0,Re-Export,Georgia,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",84393.0,,32.3293809,-83.1137366,47.59397,14.12456
2016,2016.0,Re-Export,Georgia,Armenia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",38709839.0,,32.3293809,-83.1137366,40.7696272,44.6736646
2016,2016.0,Re-Export,Georgia,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3751775.0,,32.3293809,-83.1137366,50.6402809,4.6667145
2016,2016.0,Re-Export,Georgia,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",35501.0,,32.3293809,-83.1137366,42.6073975,25.4856617
2016,2016.0,Re-Export,Georgia,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",24311.0,,32.3293809,-83.1137366,53.4250605,27.6971358
2016,2016.0,Re-Export,Georgia,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",2191768.0,,32.3293809,-83.1137366,35.000074,104.999927
2016,2016.0,Re-Export,Georgia,Cyprus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3571.0,,32.3293809,-83.1137366,34.9823018,33.1451285
2016,2016.0,Re-Export,Georgia,Czechia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",92844.0,,32.3293809,-83.1137366,49.7439047,15.3381061
2016,2016.0,Re-Export,Georgia,Estonia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",20120.0,,32.3293809,-83.1137366,58.7523778,25.3319078
2016,2016.0,Re-Export,Georgia,Finland,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",219621.0,,32.3293809,-83.1137366,63.2467777,25.9209164
2016,2016.0,Re-Export,Georgia,France,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",59630.0,,32.3293809,-83.1137366,46.603354,1.8883335
2016,2016.0,Re-Export,Georgia,Germany,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",849121.0,,32.3293809,-83.1137366,51.1638175,10.4478313
2016,2016.0,Re-Export,Georgia,Hungary,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17583.0,,32.3293809,-83.1137366,47.1817585,19.5060937
2016,2016.0,Re-Export,Georgia,Iran,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8277413.0,,32.3293809,-83.1137366,32.6475314,54.5643516
2016,2016.0,Re-Export,Georgia,Iraq,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",976867.0,,32.3293809,-83.1137366,33.0955793,44.1749775
2016,2016.0,Re-Export,Georgia,Italy,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",12569.0,,32.3293809,-83.1137366,42.6384261,12.674297
2016,2016.0,Re-Export,Georgia,Côte d'Ivoire,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6302.0,,32.3293809,-83.1137366,7.9897371,-5.5679458
2016,2016.0,Re-Export,Georgia,Kazakhstan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",435155.0,,32.3293809,-83.1137366,48.1012954,66.7780818
2016,2016.0,Re-Export,Georgia,Jordan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4644.0,,32.3293809,-83.1137366,31.1667049,36.941628
2016,2016.0,Re-Export,Georgia,Kyrgyzstan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",370675.0,,32.3293809,-83.1137366,41.5089324,74.724091
2016,2016.0,Re-Export,Georgia,Lebanon,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",5372.0,,32.3293809,-83.1137366,33.8750629,35.843409
2016,2016.0,Re-Export,Georgia,Latvia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3209.0,,32.3293809,-83.1137366,56.8406494,24.7537645
2016,2016.0,Re-Export,Georgia,Lithuania,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",22763.0,,32.3293809,-83.1137366,55.3500003,23.7499997
2016,2016.0,Re-Export,Georgia,Mongolia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",76000.0,,32.3293809,-83.1137366,46.8250388,103.8499736
2016,2016.0,Re-Export,Georgia,Rep. of Moldova,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8785.0,,32.3293809,-83.1137366,,
2016,2016.0,Re-Export,Georgia,Netherlands,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",18735.0,,32.3293809,-83.1137366,52.2434979,5.6343227
