yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,517,31.17,-7.33,59.36075159783851,25.01346951967388
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,354594,31.17,-7.33,40.12399607988535,20.742583178432696
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,4670965,31.17,-7.33,6.06272746187266,22.727528470146083
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,104990,31.17,-7.33,47.92172048214207,7.866753258497997
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,32635536,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,37996,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Comoros, Comoros,20169,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Djibouti, Djibouti,96296,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Jordan, Jordan,3151887,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,49237,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,4396812,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Libya, Libya,3790914,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Mauritania, Mauritania,215727,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,1956746,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Qatar, Qatar,110937,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,9064128,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,374796,31.17,-7.33,,
2002,2002,Export,Morocco,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,4195952,31.17,-7.33,,
