yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,42183,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,3498,31.1728205,-7.3362482,43.897683433510366,-100.08947125585888
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,1522,31.1728205,-7.3362482,59.36075159783851,25.01346951967388
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,41583,31.1728205,-7.3362482,40.12399607988535,20.742583178432696
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,403053,31.1728205,-7.3362482,6.06272746187266,22.727528470146083
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,8060,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Tunisia,Tunisia,754,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,130270,31.1728205,-7.3362482,47.92172048214207,7.866753258497997
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,1036980,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,235976,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,7651,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Libya, Libya,3384,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, Mauritania, Mauritania,158548,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, State of Palestine, State of Palestine,3,31.1728205,-7.3362482,,
2012,2012,Export,Morocco,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,494,31.1728205,-7.3362482,,
