yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Export,Oman,World,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",10483983,,,-36.8535712,174.7456809
2016,2016,Export,Oman,Bahrain,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",113477,,,26.1551249,50.5344606
2016,2016,Export,Oman,China,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",999601,,,35.000074,104.999927
2016,2016,Export,Oman,Djibouti,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",124,,,11.8145966,42.8453061
2016,2016,Export,Oman,Germany,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",11677,,,51.1638175,10.4478313
2016,2016,Export,Oman,"China, Hong Kong SAR",16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",3810,,,22.350627,114.1849161
2016,2016,Export,Oman,Iraq,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",279102,,,33.0955793,44.1749775
2016,2016,Export,Oman,Jordan,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",209001,,,31.1667049,36.941628
2016,2016,Export,Oman,Kuwait,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",67706,,,29.2733964,47.4979476
2016,2016,Export,Oman,Lebanon,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",44158,,,33.8750629,35.843409
2016,2016,Export,Oman,Libya,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",472494,,,26.8234472,18.1236723
2016,2016,Export,Oman,Qatar,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",399781,,,25.3336984,51.2295295
2016,2016,Export,Oman,Saudi Arabia,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1878738,,,25.6242618,42.3528328
2016,2016,Export,Oman,Viet Nam,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",809880,,,15.9266657,107.9650855
