yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,6732,33.8750629,35.843409,-16.85099460447687,133.4130365630627
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,25,33.8750629,35.843409,37.977378106878206,73.97804075806764
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,2070,33.8750629,35.843409,51.67568633314729,27.673469819741847
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Egypt,Egypt,997,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,7916,33.8750629,35.843409,17.925141963241547,-78.01492950057497
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,29969,33.8750629,35.843409,43.897683433510366,-100.08947125585888
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,15515,33.8750629,35.843409,59.36075159783851,25.01346951967388
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,104,33.8750629,35.843409,10.528384761701911,103.08333472012376
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,5178,33.8750629,35.843409,40.12399607988535,20.742583178432696
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,78473,33.8750629,35.843409,6.06272746187266,22.727528470146083
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,18876,33.8750629,35.843409,26.42921218083572,52.86847103284948
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,21307,33.8750629,35.843409,47.92172048214207,7.866753258497997
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin,World,World,368636,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Algeria, Algeria,1932,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Bahrain, Bahrain,94,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Cyprus, Cyprus,198,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Iraq, Iraq,12366,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,117018,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,17260,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Mauritania, Mauritania,129,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Morocco, Morocco,477,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,7522,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Saudi Arabia, Saudi Arabia,15288,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,6581,33.8750629,35.843409,,
2006,2006,Export,Lebanon,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,54,33.8750629,35.843409,,
