yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,71116,25.3336984,51.2295295,-16.85099460447687,133.4130365630627
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,871,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,7083,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,220372,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,World,World,954140,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,113349,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,133379,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,1673,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,22825,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,19797,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,281554,25.3336984,51.2295295,,
2007,2007,Export,Qatar,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,30420,25.3336984,51.2295295,,
