yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Export,Oman,World,1,Animals; live,139685739,,,-36.8535712,174.7456809
2021,2021,Export,Oman,Bahrain,1,Animals; live,5412444,,,26.1551249,50.5344606
2021,2021,Export,Oman,Bangladesh,1,Animals; live,2504,,,24.4769288,90.2934413
2021,2021,Export,Oman,Sri Lanka,1,Animals; live,704,,,7.5554942,80.7137847
2021,2021,Export,Oman,China,1,Animals; live,522,,,35.000074,104.999927
2021,2021,Export,Oman,Colombia,1,Animals; live,262,,,4.099917,-72.9088133
2021,2021,Export,Oman,France,1,Animals; live,130,,,46.603354,1.8883335
2021,2021,Export,Oman,Germany,1,Animals; live,390,,,51.1638175,10.4478313
2021,2021,Export,Oman,Greece,1,Animals; live,780,,,38.9953683,21.9877132
2021,2021,Export,Oman,Hungary,1,Animals; live,130,,,47.1817585,19.5060937
2021,2021,Export,Oman,Indonesia,1,Animals; live,130,,,-2.4833826,117.8902853
2021,2021,Export,Oman,Iraq,1,Animals; live,782,,,33.0955793,44.1749775
2021,2021,Export,Oman,Italy,1,Animals; live,260,,,42.6384261,12.674297
2021,2021,Export,Oman,Japan,1,Animals; live,780,,,36.5748441,139.2394179
2021,2021,Export,Oman,Jordan,1,Animals; live,1464,,,31.1667049,36.941628
2021,2021,Export,Oman,Kenya,1,Animals; live,260,,,1.4419683,38.4313975
2021,2021,Export,Oman,Kuwait,1,Animals; live,77679445,,,29.2733964,47.4979476
2021,2021,Export,Oman,Malaysia,1,Animals; live,1170,,,4.5693754,102.2656823
2021,2021,Export,Oman,Morocco,1,Animals; live,260,,,31.1728205,-7.3362482
2021,2021,Export,Oman,Nepal,1,Animals; live,520,,,28.1083929,84.0917139
2021,2021,Export,Oman,Pakistan,1,Animals; live,22353,,,30.3308401,71.247499
2021,2021,Export,Oman,Panama,1,Animals; live,1001,,,8.559559,-81.1308434
2021,2021,Export,Oman,Philippines,1,Animals; live,4218,,,12.7503486,122.7312101
2021,2021,Export,Oman,Qatar,1,Animals; live,51427859,,,25.3336984,51.2295295
2021,2021,Export,Oman,Russian Federation,1,Animals; live,10403,,,64.6863136,97.7453061
2021,2021,Export,Oman,Saudi Arabia,1,Animals; live,170816,,,25.6242618,42.3528328
2021,2021,Export,Oman,India,1,Animals; live,24777,,,22.3511148,78.6677428
2021,2021,Export,Oman,Singapore,1,Animals; live,262,,,1.357107,103.8194992
2021,2021,Export,Oman,South Africa,1,Animals; live,2213,,,-28.8166236,24.991639
2021,2021,Export,Oman,Spain,1,Animals; live,2733,,,39.3260685,-4.8379791
2021,2021,Export,Oman,Sweden,1,Animals; live,130,,,59.6749712,14.5208584
2021,2021,Export,Oman,Switzerland,1,Animals; live,522,,,46.7985624,8.2319736
2021,2021,Export,Oman,United Arab Emirates,1,Animals; live,4192678,,,24.0002488,53.9994829
2021,2021,Export,Oman,Egypt,1,Animals; live,260,,,26.2540493,29.2675469
2021,2021,Export,Oman,United Kingdom,1,Animals; live,16941,,,54.7023545,-3.2765753
2021,2021,Export,Oman,United Rep. of Tanzania,1,Animals; live,260,,,,
2021,2021,Export,Oman,Free Zones,1,Animals; live,1040,,,,
2021,2021,Export,Oman,USA,1,Animals; live,3344,,,,
2021,2021,Export,Oman,Yemen,1,Animals; live,700977,,,16.3471243,47.8915271
