yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Export,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,1437267
2006,2006,Export,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,2164
2006,2006,Export,Algeria,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,67
2006,2006,Export,Algeria,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,199
2006,2006,Export,Algeria,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,2160
2006,2006,Export,Algeria,11,Products of the milling industry; malt; starches; inulin,World,World,1445942
