yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,97885,24.0002488,53.9994829,-16.85099460447687,133.4130365630627
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,68745,24.0002488,53.9994829,39.89317229901691,61.060280637304274
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,83108,24.0002488,53.9994829,37.977378106878206,73.97804075806764
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,8577,24.0002488,53.9994829,51.67568633314729,27.673469819741847
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,74735,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,41,24.0002488,53.9994829,17.925141963241547,-78.01492950057497
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,571161,24.0002488,53.9994829,43.897683433510366,-100.08947125585888
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,114217,24.0002488,53.9994829,59.36075159783851,25.01346951967388
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,58852,24.0002488,53.9994829,10.528384761701911,103.08333472012376
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,900057,24.0002488,53.9994829,25.499703063807168,75.5024015339642
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,5296,24.0002488,53.9994829,40.12399607988535,20.742583178432696
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,308117,24.0002488,53.9994829,6.06272746187266,22.727528470146083
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,112048,24.0002488,53.9994829,26.42921218083572,52.86847103284948
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,3856,24.0002488,53.9994829,47.92172048214207,7.866753258497997
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,World,World,7536332,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Afghanistan, Afghanistan,6712,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Armenia, Armenia,2670,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Azerbaijan, Azerbaijan,35915,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,345719,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Djibouti, Djibouti,21334,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,1992943,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,28369,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,69704,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,81874,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Malta, Malta,932,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,1363824,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,170424,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,294465,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,163592,24.0002488,53.9994829,,
2005,2005,Re-Export,United Arab Emirates,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,192302,24.0002488,53.9994829,,
