yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Central Asia,Asia,34675,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,567981,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,5019,33.7680065,66.2385139,59.36075159783851,25.01346951967388
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,4833,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,1402060,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,28919,33.7680065,66.2385139,40.12399607988535,20.742583178432696
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,12500,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,World,World,6520445,33.7680065,66.2385139,,
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,12000,33.7680065,66.2385139,,
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Pakistan, Pakistan,4224010,33.7680065,66.2385139,,
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,3654,33.7680065,66.2385139,,
2016,2016,Export,Afghanistan,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,170622,33.7680065,66.2385139,,
