yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,359,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,35184,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,68,32.3293809,-83.1137366,17.925141963241547,-78.01492950057497
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Micronesia,Oceania,706,32.3293809,-83.1137366,6.418559504495792,157.6364476938912
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,2439,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,755,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,7113,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,900,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,169314,32.3293809,-83.1137366,,
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Armenia, Armenia,118766,32.3293809,-83.1137366,,
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Azerbaijan, Azerbaijan,2776,32.3293809,-83.1137366,,
2012,2012,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,248,32.3293809,-83.1137366,,
