yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Australia and New Zealand,Oceania,109000,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Asia,Asia,60928,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Eastern Europe,Europe,7968,26.1551249,50.5344606,51.67568633314729,27.673469819741847
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Egypt,Egypt,3926,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Latin America and the Caribbean,Americas,963,26.1551249,50.5344606,17.925141963241547,-78.01492950057497
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern America,Americas,80074,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Northern Europe,Europe,1060177,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,South-eastern Asia,Asia,609776,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Asia,Asia,88867,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Southern Europe,Europe,78191,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Sub-Saharan Africa,Africa,26617,26.1551249,50.5344606,6.06272746187266,22.727528470146083
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Tunisia,Tunisia,1564,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Asia,Asia,10944,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Western Europe,Europe,976252,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,World,World,5156882,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Cyprus, Cyprus,106021,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Kuwait, Kuwait,136314,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Lebanon, Lebanon,17846,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Malta, Malta,14806,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Oman, Oman,93976,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Pakistan, Pakistan,67907,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Qatar, Qatar,9061,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Saudi Arabia, Saudi Arabia,74915,26.1551249,50.5344606,,
2009,2009,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin; wheat gluten,United Arab Emirates, United Arab Emirates,763791,26.1551249,50.5344606,,
