yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,53480530,31.17,-7.33,-16.85099460447687,133.4130365630627
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,906301,31.17,-7.33,37.977378106878206,73.97804075806764
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,3622166,31.17,-7.33,51.67568633314729,27.673469819741847
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,8109100,31.17,-7.33,,
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,13034985,31.17,-7.33,17.925141963241547,-78.01492950057497
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,73391843,31.17,-7.33,43.897683433510366,-100.08947125585888
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,6100565,31.17,-7.33,59.36075159783851,25.01346951967388
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1651180,31.17,-7.33,40.12399607988535,20.742583178432696
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,48420,31.17,-7.33,6.06272746187266,22.727528470146083
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Tunisia,Tunisia,171506,31.17,-7.33,,
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,69964,31.17,-7.33,26.42921218083572,52.86847103284948
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,79260487,31.17,-7.33,47.92172048214207,7.866753258497997
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,World,World,243810612,31.17,-7.33,,
2010,2010,Import,Morocco,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,97,31.17,-7.33,,
