yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,11021000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,41000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,17000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Africa,Africa,252000,30.8124247,34.8594762,19.569604022535763,12.47761721199581
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,1134000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,1632000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,339000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,445000,30.8124247,34.8594762,25.499703063807168,75.5024015339642
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,2603000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,4020000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,2660000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2007,2007,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,26606000,30.8124247,34.8594762,,
