yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Australia and New Zealand,Oceania,1694,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,508287,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,4937,31.1667049,36.941628,25.499703063807168,75.5024015339642
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,86279,31.1667049,36.941628,6.06272746187266,22.727528470146083
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Sudan,Sudan,509156,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,913633,31.1667049,36.941628,26.42921218083572,52.86847103284948
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,10152956,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Bahrain, Bahrain,5044,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,2853761,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,80055,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Lebanon, Lebanon,392887,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Libya, Libya,1180,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,148785,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,3764930,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,State of Palestine, State of Palestine,181723,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,139870,31.1667049,36.941628,,
2012,2012,Export,Jordan,35,Albuminoidal substances; modified starches; glues; enzymes,Yemen, Yemen,74380,31.1667049,36.941628,,
