yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1888120,25.62,42.35,37.977378106878206,73.97804075806764
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,372230,25.62,42.35,,
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,1213887,25.62,42.35,17.925141963241547,-78.01492950057497
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,10667836,25.62,42.35,43.897683433510366,-100.08947125585888
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,8893468,25.62,42.35,59.36075159783851,25.01346951967388
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,6232317,25.62,42.35,10.528384761701911,103.08333472012376
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,6455815,25.62,42.35,40.12399607988535,20.742583178432696
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,303605,25.62,42.35,26.42921218083572,52.86847103284948
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,18255561,25.62,42.35,47.92172048214207,7.866753258497997
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,58017689,25.62,42.35,,
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Cyprus, Cyprus,66489,25.62,42.35,,
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,831510,25.62,42.35,,
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Oman, Oman,37116,25.62,42.35,,
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,81442,25.62,42.35,,
2006,2006,Import,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,532444,25.62,42.35,,
