yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,1114124,21.0000287,57.0036901,-16.85099460447687,133.4130365630627
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,70877,21.0000287,57.0036901,37.977378106878206,73.97804075806764
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Eastern Europe,Europe,765,21.0000287,57.0036901,51.67568633314729,27.673469819741847
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,16626,21.0000287,57.0036901,17.925141963241547,-78.01492950057497
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Africa,Africa,4078,21.0000287,57.0036901,19.569604022535763,12.47761721199581
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2712606,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,422259,21.0000287,57.0036901,59.36075159783851,25.01346951967388
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,638590,21.0000287,57.0036901,10.528384761701911,103.08333472012376
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Asia,Asia,376441,21.0000287,57.0036901,25.499703063807168,75.5024015339642
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,982712,21.0000287,57.0036901,40.12399607988535,20.742583178432696
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,107591,21.0000287,57.0036901,26.42921218083572,52.86847103284948
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,668310,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2002,2002,Import,Oman,25,Salt; sulfur; earths and stone; plastering materials,World,World,40793738,21.0000287,57.0036901,,
