yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2017,2017.0,Export,Israel,World,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",116737000.0,,30.8124247,34.8594762,-36.8535712,174.7456809
2017,2017.0,Export,Israel,Angola,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",37000.0,,30.8124247,34.8594762,-11.8775768,17.5691241
2017,2017.0,Export,Israel,Azerbaijan,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",4260000.0,,30.8124247,34.8594762,40.3936294,47.7872508
2017,2017.0,Export,Israel,Australia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3539000.0,,30.8124247,34.8594762,-24.7761086,134.755
2017,2017.0,Export,Israel,Austria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13000.0,,30.8124247,34.8594762,47.59397,14.12456
2017,2017.0,Export,Israel,Belgium,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1410000.0,,30.8124247,34.8594762,50.6402809,4.6667145
2017,2017.0,Export,Israel,Botswana,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",14000.0,,30.8124247,34.8594762,-23.1681782,24.5928742
2017,2017.0,Export,Israel,Brazil,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",401000.0,,30.8124247,34.8594762,-10.3333333,-53.2
2017,2017.0,Export,Israel,Bulgaria,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",21000.0,,30.8124247,34.8594762,42.6073975,25.4856617
2017,2017.0,Export,Israel,Belarus,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",6000.0,,30.8124247,34.8594762,53.4250605,27.6971358
2017,2017.0,Export,Israel,Canada,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",124000.0,,30.8124247,34.8594762,61.0666922,-107.991707
2017,2017.0,Export,Israel,Sri Lanka,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",17000.0,,30.8124247,34.8594762,7.5554942,80.7137847
2017,2017.0,Export,Israel,Chad,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",8000.0,,30.8124247,34.8594762,15.6134137,19.0156172
2017,2017.0,Export,Israel,Chile,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",27000.0,,30.8124247,34.8594762,-31.7613365,-71.3187697
2017,2017.0,Export,Israel,China,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1459000.0,,30.8124247,34.8594762,35.000074,104.999927
2017,2017.0,Export,Israel,Colombia,87.0,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",13000.0,,30.8124247,34.8594762,4.099917,-72.9088133
