yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,827,29.2733964,47.4979476,25.499703063807168,75.5024015339642
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,116087,29.2733964,47.4979476,,
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Iraq, Iraq,2481,29.2733964,47.4979476,,
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,11065,29.2733964,47.4979476,,
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Qatar, Qatar,36327,29.2733964,47.4979476,,
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,34613,29.2733964,47.4979476,,
2016,2016,Re-Export,Kuwait,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,30772,29.2733964,47.4979476,,
