yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2016,2016,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,249313,26.8234472,18.1236723,,
2016,2016,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,Latin America and the Caribbean,Americas,912217,26.8234472,18.1236723,17.925141963241547,-78.01492950057497
2016,2016,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,Tunisia,Tunisia,381996,26.8234472,18.1236723,,
2016,2016,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials,World,World,1558766,26.8234472,18.1236723,,
2016,2016,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials, Algeria, Algeria,3240,26.8234472,18.1236723,,
2016,2016,Export,Libya,25,Salt; sulfur; earths and stone; plastering materials, Malta, Malta,12000,26.8234472,18.1236723,,
