yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,15695,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2286,25.3336984,51.2295295,43.897683433510366,-100.08947125585888
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,140,25.3336984,51.2295295,40.12399607988535,20.742583178432696
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,3989,25.3336984,51.2295295,26.42921218083572,52.86847103284948
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,3108,25.3336984,51.2295295,47.92172048214207,7.866753258497997
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials,World,World,1002849,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Bahrain, Bahrain,32623,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Jordan, Jordan,6332,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Kuwait, Kuwait,100294,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Oman, Oman,39982,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Saudi Arabia, Saudi Arabia,410294,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, United Arab Emirates, United Arab Emirates,233760,25.3336984,51.2295295,,
2010,2010,Re-Export,Qatar,25,Salt; sulfur; earths and stone; plastering materials, Yemen, Yemen,32225,25.3336984,51.2295295,,
