yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,538728,30.3308401,71.247499,39.89317229901691,61.060280637304274
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,21664,30.3308401,71.247499,37.977378106878206,73.97804075806764
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,434818,30.3308401,71.247499,17.925141963241547,-78.01492950057497
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,205214,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,9503,30.3308401,71.247499,59.36075159783851,25.01346951967388
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,40616,30.3308401,71.247499,10.528384761701911,103.08333472012376
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,81444,30.3308401,71.247499,25.499703063807168,75.5024015339642
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,20881,30.3308401,71.247499,6.06272746187266,22.727528470146083
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,1801,30.3308401,71.247499,47.92172048214207,7.866753258497997
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;,World,World,28625231,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Afghanistan, Afghanistan,23907040,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,5718,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,1042,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,50360,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,12463,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,10002,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,2888683,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,386579,30.3308401,71.247499,,
2006,2006,Export,Pakistan,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,8675,30.3308401,71.247499,,
