yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,467612,16.3471243,47.8915271,37.977378106878206,73.97804075806764
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,458,16.3471243,47.8915271,17.925141963241547,-78.01492950057497
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,798,16.3471243,47.8915271,43.897683433510366,-100.08947125585888
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,1124,16.3471243,47.8915271,59.36075159783851,25.01346951967388
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,71238,16.3471243,47.8915271,10.528384761701911,103.08333472012376
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,25809,16.3471243,47.8915271,40.12399607988535,20.742583178432696
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,902,16.3471243,47.8915271,26.42921218083572,52.86847103284948
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,2127,16.3471243,47.8915271,47.92172048214207,7.866753258497997
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,1257423,16.3471243,47.8915271,,
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Saudi Arabia, Saudi Arabia,2506,16.3471243,47.8915271,,
2010,2010,Import,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,18360,16.3471243,47.8915271,,
