yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Export,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,2124,16.3471243,47.8915271,6.06272746187266,22.727528470146083
2010,2010,Export,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,50441,16.3471243,47.8915271,,
2010,2010,Export,Yemen,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Saudi Arabia, Saudi Arabia,2522,16.3471243,47.8915271,,
