yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,44087223,25.62,42.35,37.977378106878206,73.97804075806764
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,226686,25.62,42.35,,
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,84274,25.62,42.35,17.925141963241547,-78.01492950057497
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,527512,25.62,42.35,43.897683433510366,-100.08947125585888
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,780066,25.62,42.35,59.36075159783851,25.01346951967388
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,1498794,25.62,42.35,10.528384761701911,103.08333472012376
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,1269975,25.62,42.35,40.12399607988535,20.742583178432696
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,8349512,25.62,42.35,26.42921218083572,52.86847103284948
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,4468647,25.62,42.35,47.92172048214207,7.866753258497997
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,65929618,25.62,42.35,,
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Kuwait, Kuwait,90941,25.62,42.35,,
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Lebanon, Lebanon,32003,25.62,42.35,,
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Morocco, Morocco,162414,25.62,42.35,,
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Pakistan, Pakistan,59472,25.62,42.35,,
2009,2009,Import,Saudi Arabia,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,United Arab Emirates, United Arab Emirates,38137,25.62,42.35,,
