yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Central Asia,Asia,1192004,30.3308401,71.247499,39.89317229901691,61.060280637304274
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,766723,30.3308401,71.247499,51.67568633314729,27.673469819741847
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,86677,30.3308401,71.247499,43.897683433510366,-100.08947125585888
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,392,30.3308401,71.247499,59.36075159783851,25.01346951967388
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sub-Saharan Africa,Africa,1726251,30.3308401,71.247499,6.06272746187266,22.727528470146083
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Sudan,Sudan,1240170,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,1737,30.3308401,71.247499,47.92172048214207,7.866753258497997
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,10316669,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Afghanistan, Afghanistan,4600197,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Algeria, Algeria,37691,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Georgia, Georgia,103398,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Jordan, Jordan,22509,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Oman, Oman,38382,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Saudi Arabia, Saudi Arabia,352884,30.3308401,71.247499,,
2020,2020,Export,Pakistan,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,147643,30.3308401,71.247499,,
