yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Central Asia,Asia,196997021,33.7680065,66.2385139,39.89317229901691,61.060280637304274
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,264219,33.7680065,66.2385139,37.977378106878206,73.97804075806764
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,2147940,33.7680065,66.2385139,51.67568633314729,27.673469819741847
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,496554,33.7680065,66.2385139,43.897683433510366,-100.08947125585888
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,160143,33.7680065,66.2385139,10.528384761701911,103.08333472012376
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,6600399,33.7680065,66.2385139,25.499703063807168,75.5024015339642
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,12622,33.7680065,66.2385139,26.42921218083572,52.86847103284948
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,World,World,229567332,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Pakistan, Pakistan,22457351,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,43304,33.7680065,66.2385139,,
2010,2010,Import,Afghanistan,11,Products of the milling industry; malt; starches; inulin,United Arab Emirates, United Arab Emirates,246659,33.7680065,66.2385139,,
