yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,44942,21.0000287,57.0036901,43.897683433510366,-100.08947125585888
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,15946361,21.0000287,57.0036901,6.06272746187266,22.727528470146083
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Tunisia,Tunisia,33706,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,112,21.0000287,57.0036901,47.92172048214207,7.866753258497997
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin,World,World,22920743,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Djibouti, Djibouti,843985,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Jordan, Jordan,68567,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Kuwait, Kuwait,780,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Pakistan, Pakistan,1763,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Qatar, Qatar,685002,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, United Arab Emirates, United Arab Emirates,1608243,21.0000287,57.0036901,,
2009,2009,Export,Oman,11,Products of the milling industry; malt; starches; inulin, Yemen, Yemen,3687282,21.0000287,57.0036901,,
