yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,14,29.2733964,47.4979476,37.977378106878206,73.97804075806764
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,2696,29.2733964,47.4979476,43.897683433510366,-100.08947125585888
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,21,29.2733964,47.4979476,40.12399607988535,20.742583178432696
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Asia,Asia,1228,29.2733964,47.4979476,26.42921218083572,52.86847103284948
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Western Europe,Europe,4086,29.2733964,47.4979476,47.92172048214207,7.866753258497997
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,World,World,191630,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Afghanistan, Afghanistan,71,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,35850,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Iraq, Iraq,11334,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,10568,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Morocco, Morocco,180,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,10056,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,6831,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,Saudi Arabia, Saudi Arabia,108288,29.2733964,47.4979476,,
2007,2007,Export,Kuwait,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,406,29.2733964,47.4979476,,
