yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,1338,31.1667049,36.941628,37.977378106878206,73.97804075806764
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Egypt,Egypt,130497,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,13798,31.1667049,36.941628,10.528384761701911,103.08333472012376
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,17180,31.1667049,36.941628,26.42921218083572,52.86847103284948
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,334789,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Bahrain, Bahrain,140845,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Iraq, Iraq,23734,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Israel, Israel,38,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, Kuwait, Kuwait,1710,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, State of Palestine, State of Palestine,1886,31.1667049,36.941628,,
2011,2011,Re-Export,Jordan,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery, United Arab Emirates, United Arab Emirates,704,31.1667049,36.941628,,
