yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Asia,Asia,8241000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Eastern Europe,Europe,48000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Latin America and the Caribbean,Americas,139000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Africa,Africa,88000,30.8124247,34.8594762,19.569604022535763,12.47761721199581
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern America,Americas,987000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Northern Europe,Europe,1230000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,South-eastern Asia,Asia,308000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Asia,Asia,72000,30.8124247,34.8594762,25.499703063807168,75.5024015339642
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Southern Europe,Europe,2518000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Sub-Saharan Africa,Africa,1000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Asia,Asia,5135000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,Western Europe,Europe,2141000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2008,2008,Import,Israel,58,Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,World,World,23538000,30.8124247,34.8594762,,
