yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Australia and New Zealand,Oceania,33600,25.62,42.35,-16.85099460447687,133.4130365630627
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Eastern Asia,Asia,738402,25.62,42.35,37.977378106878206,73.97804075806764
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Egypt,Egypt,3883472,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern America,Americas,443468,25.62,42.35,43.897683433510366,-100.08947125585888
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Northern Europe,Europe,114667,25.62,42.35,59.36075159783851,25.01346951967388
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,South-eastern Asia,Asia,548000,25.62,42.35,10.528384761701911,103.08333472012376
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Southern Europe,Europe,3448805,25.62,42.35,40.12399607988535,20.742583178432696
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Sub-Saharan Africa,Africa,1071734,25.62,42.35,6.06272746187266,22.727528470146083
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,World,World,114504410,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Bahrain, Bahrain,48158994,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Jordan, Jordan,1416802,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Kuwait, Kuwait,35915245,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Lebanon, Lebanon,1458935,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Libya, Libya,48533,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Oman, Oman,63467,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Qatar, Qatar,7917077,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,United Arab Emirates, United Arab Emirates,7124009,25.62,42.35,,
2003,2003,Export,Saudi Arabia,25,Salt; sulfur; earths and stone; plastering materials,Yemen, Yemen,62933,25.62,42.35,,
