yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,337615,26.8234472,18.1236723,37.977378106878206,73.97804075806764
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,95011,26.8234472,18.1236723,51.67568633314729,27.673469819741847
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,102201,26.8234472,18.1236723,,
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,220358,26.8234472,18.1236723,43.897683433510366,-100.08947125585888
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,102712,26.8234472,18.1236723,59.36075159783851,25.01346951967388
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,197837,26.8234472,18.1236723,10.528384761701911,103.08333472012376
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,2268109,26.8234472,18.1236723,40.12399607988535,20.742583178432696
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,267204,26.8234472,18.1236723,26.42921218083572,52.86847103284948
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,3394257,26.8234472,18.1236723,47.92172048214207,7.866753258497997
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8439088,26.8234472,18.1236723,,
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,14155,26.8234472,18.1236723,,
2008,2008,Import,Libya,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,660149,26.8234472,18.1236723,,
