yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,200,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,1094919,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,143,32.3293809,-83.1137366,17.925141963241547,-78.01492950057497
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,11,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,29,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,94,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,6682,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,82,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,90,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,645587,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2005,2005,Export,Georgia,11,Products of the milling industry; malt; starches; inulin,World,World,1926898,32.3293809,-83.1137366,,
