yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1432032,,,37.977378106878206,73.97804075806764
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,22440,,,51.67568633314729,27.673469819741847
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,539993,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,136388,,,17.925141963241547,-78.01492950057497
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,124776,,,43.897683433510366,-100.08947125585888
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,140150,,,59.36075159783851,25.01346951967388
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,318921,,,10.528384761701911,103.08333472012376
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,45,,,25.499703063807168,75.5024015339642
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,512102,,,40.12399607988535,20.742583178432696
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,8086,,,6.06272746187266,22.727528470146083
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,185046,,,26.42921218083572,52.86847103284948
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,2090127,,,47.92172048214207,7.866753258497997
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,9392641,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Afghanistan, Afghanistan,307,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Algeria, Algeria,1222,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Jordan, Jordan,176190,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Lebanon, Lebanon,2590,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Oman, Oman,1080,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Pakistan, Pakistan,775,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Qatar, Qatar,1867,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, Saudi Arabia, Saudi Arabia,519404,,,,
2010,2010,Import,Fmr Sudan,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,1168968,,,,
