yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,Unnamed: 0,rtLat,rtLon,ptLat,ptLon
2004,2004.0,Export,Azerbaijan,Indonesia,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,11344.0,,40.3936294,47.7872508,-2.4833826,117.8902853
2004,2004.0,Export,Azerbaijan,Iran,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,34306.0,,40.3936294,47.7872508,32.6475314,54.5643516
2004,2004.0,Export,Azerbaijan,Italy,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,6967.0,,40.3936294,47.7872508,42.6384261,12.674297
2004,2004.0,Export,Azerbaijan,Japan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1785.0,,40.3936294,47.7872508,36.5748441,139.2394179
2004,2004.0,Export,Azerbaijan,Kazakhstan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1720.0,,40.3936294,47.7872508,48.1012954,66.7780818
2004,2004.0,Export,Azerbaijan,Jordan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1500.0,,40.3936294,47.7872508,31.1667049,36.941628
2004,2004.0,Export,Azerbaijan,Kenya,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,330.0,,40.3936294,47.7872508,1.4419683,38.4313975
2004,2004.0,Export,Azerbaijan,Lebanon,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,700.0,,40.3936294,47.7872508,33.8750629,35.843409
2004,2004.0,Export,Azerbaijan,Malaysia,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,339.0,,40.3936294,47.7872508,4.5693754,102.2656823
2004,2004.0,Export,Azerbaijan,Mexico,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,120.0,,40.3936294,47.7872508,23.6585116,-102.0077097
2004,2004.0,Export,Azerbaijan,Netherlands,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,500.0,,40.3936294,47.7872508,52.2434979,5.6343227
2004,2004.0,Export,Azerbaijan,New Zealand,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1135.0,,40.3936294,47.7872508,-41.5000831,172.8344077
2004,2004.0,Export,Azerbaijan,Nigeria,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,200.0,,40.3936294,47.7872508,9.6000359,7.9999721
2004,2004.0,Export,Azerbaijan,Norway,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,360.0,,40.3936294,47.7872508,60.5000209,9.0999715
2004,2004.0,Export,Azerbaijan,Philippines,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1800.0,,40.3936294,47.7872508,12.7503486,122.7312101
2004,2004.0,Export,Azerbaijan,Russian Federation,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,4524728.0,,40.3936294,47.7872508,64.6863136,97.7453061
2004,2004.0,Export,Azerbaijan,Senegal,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,650.0,,40.3936294,47.7872508,14.4750607,-14.4529612
2004,2004.0,Export,Azerbaijan,Singapore,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,804.0,,40.3936294,47.7872508,1.357107,103.8194992
2004,2004.0,Export,Azerbaijan,Slovakia,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,50.0,,40.3936294,47.7872508,48.7411522,19.4528646
2004,2004.0,Export,Azerbaijan,Switzerland,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,170.0,,40.3936294,47.7872508,46.7985624,8.2319736
2004,2004.0,Export,Azerbaijan,Thailand,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,130.0,,40.3936294,47.7872508,14.8971921,100.83273
2004,2004.0,Export,Azerbaijan,Trinidad and Tobago,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,200.0,,40.3936294,47.7872508,10.7466905,-61.0840075
2004,2004.0,Export,Azerbaijan,United Arab Emirates,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,2777.0,,40.3936294,47.7872508,24.0002488,53.9994829
2004,2004.0,Export,Azerbaijan,Turkey,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,398922.0,,40.3936294,47.7872508,38.9597594,34.9249653
2004,2004.0,Export,Azerbaijan,Turkmenistan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,1605.0,,40.3936294,47.7872508,39.3763807,59.3924609
2004,2004.0,Export,Azerbaijan,Egypt,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,710.0,,40.3936294,47.7872508,26.2540493,29.2675469
2004,2004.0,Export,Azerbaijan,United Kingdom,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,30520.0,,40.3936294,47.7872508,54.7023545,-3.2765753
2004,2004.0,Export,Azerbaijan,USA,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,23097.0,,40.3936294,47.7872508,39.7837304,-100.445882
2004,2004.0,Export,Azerbaijan,Uzbekistan,63.0,Other made up textile articles; sets; worn clothing and worn textile articl ...,600.0,,40.3936294,47.7872508,41.32373,63.9528098
