yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,1026815,31.46,34.26,37.977378106878206,73.97804075806764
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Egypt,Egypt,8340,31.46,34.26,,
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Latin America and the Caribbean,Americas,45115,31.46,34.26,17.925141963241547,-78.01492950057497
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,19638,31.46,34.26,43.897683433510366,-100.08947125585888
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,24382,31.46,34.26,59.36075159783851,25.01346951967388
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,30557,31.46,34.26,10.528384761701911,103.08333472012376
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,1098791,31.46,34.26,40.12399607988535,20.742583178432696
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,557844,31.46,34.26,26.42921218083572,52.86847103284948
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,496534,31.46,34.26,47.92172048214207,7.866753258497997
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,8827299,31.46,34.26,,
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Israel, Israel,5124657,31.46,34.26,,
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Jordan, Jordan,379026,31.46,34.26,,
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,Saudi Arabia, Saudi Arabia,315,31.46,34.26,,
2015,2015,Import,State of Palestine,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,954,31.46,34.26,,
