yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2016,2016,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,3112908,,,-36.8535712,174.7456809
2016,2016,Import,Comoros,Andorra,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,40,,,,
2016,2016,Import,Comoros,Belgium,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,89,,,50.6402809,4.6667145
2016,2016,Import,Comoros,Brunei Darussalam,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,39,,,,
2016,2016,Import,Comoros,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1350,,,35.000074,104.999927
2016,2016,Import,Comoros,France,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,133271,,,46.603354,1.8883335
2016,2016,Import,Comoros,Germany,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,15378,,,51.1638175,10.4478313
2016,2016,Import,Comoros,Indonesia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1433372,,,-2.4833826,117.8902853
2016,2016,Import,Comoros,Kuwait,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1263,,,29.2733964,47.4979476
2016,2016,Import,Comoros,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,334793,,,4.5693754,102.2656823
2016,2016,Import,Comoros,Mauritius,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,74444,,,-20.2759451,57.5703566
2016,2016,Import,Comoros,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,579,,,25.6242618,42.3528328
2016,2016,Import,Comoros,India,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,449,,,22.3511148,78.6677428
2016,2016,Import,Comoros,Singapore,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,414770,,,1.357107,103.8194992
2016,2016,Import,Comoros,South Africa,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,19171,,,-28.8166236,24.991639
2016,2016,Import,Comoros,Thailand,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,19758,,,14.8971921,100.83273
2016,2016,Import,Comoros,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,548477,,,24.0002488,53.9994829
2016,2016,Import,Comoros,Tunisia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,111792,,,33.8439408,9.400138
2016,2016,Import,Comoros,Egypt,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,33,,,26.2540493,29.2675469
2016,2016,Import,Comoros,United Rep. of Tanzania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,2057,,,,
2016,2016,Import,Comoros,Yemen,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1774,,,16.3471243,47.8915271
2018,2018,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4203608,,,-36.8535712,174.7456809
2018,2018,Import,Comoros,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,38467,,,35.000074,104.999927
2018,2018,Import,Comoros,France,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,130286,,,46.603354,1.8883335
2018,2018,Import,Comoros,Gabon,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,40872,,,-0.8999695,11.6899699
2018,2018,Import,Comoros,Indonesia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1880105,,,-2.4833826,117.8902853
2018,2018,Import,Comoros,Kuwait,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1022,,,29.2733964,47.4979476
2018,2018,Import,Comoros,Madagascar,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7,,,-18.9249604,46.4416422
2018,2018,Import,Comoros,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,504883,,,4.5693754,102.2656823
2018,2018,Import,Comoros,Mauritania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,16604,,,20.2540382,-9.2399263
2018,2018,Import,Comoros,Mauritius,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,185640,,,-20.2759451,57.5703566
2018,2018,Import,Comoros,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,849,,,25.6242618,42.3528328
2018,2018,Import,Comoros,Singapore,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,766289,,,1.357107,103.8194992
2018,2018,Import,Comoros,Slovenia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,19991,,,45.8133113,14.4808369
2018,2018,Import,Comoros,South Africa,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,153846,,,-28.8166236,24.991639
2018,2018,Import,Comoros,Thailand,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,203,,,14.8971921,100.83273
2018,2018,Import,Comoros,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,291144,,,24.0002488,53.9994829
2018,2018,Import,Comoros,Tunisia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,135650,,,33.8439408,9.400138
2018,2018,Import,Comoros,Ukraine,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,35623,,,49.4871968,31.2718321
2018,2018,Import,Comoros,United Rep. of Tanzania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,752,,,,
2018,2018,Import,Comoros,Yemen,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1366,,,16.3471243,47.8915271
2019,2019,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4146207,,,-36.8535712,174.7456809
2019,2019,Import,Comoros,Canada,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,272,,,61.0666922,-107.991707
2019,2019,Import,Comoros,China,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,36894,,,35.000074,104.999927
2019,2019,Import,Comoros,France,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,112055,,,46.603354,1.8883335
2019,2019,Import,Comoros,Indonesia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1607052,,,-2.4833826,117.8902853
2019,2019,Import,Comoros,Kenya,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,341,,,1.4419683,38.4313975
2019,2019,Import,Comoros,Kuwait,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,699,,,29.2733964,47.4979476
2019,2019,Import,Comoros,Madagascar,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,161,,,-18.9249604,46.4416422
2019,2019,Import,Comoros,Malaysia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,691330,,,4.5693754,102.2656823
2019,2019,Import,Comoros,Mauritius,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,313973,,,-20.2759451,57.5703566
2019,2019,Import,Comoros,Saudi Arabia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,645,,,25.6242618,42.3528328
2019,2019,Import,Comoros,Singapore,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,756931,,,1.357107,103.8194992
2019,2019,Import,Comoros,South Africa,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,34798,,,-28.8166236,24.991639
2019,2019,Import,Comoros,Thailand,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,559,,,14.8971921,100.83273
2019,2019,Import,Comoros,United Arab Emirates,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,359834,,,24.0002488,53.9994829
2019,2019,Import,Comoros,Tunisia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,226208,,,33.8439408,9.400138
2019,2019,Import,Comoros,Turkey,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,74,,,38.9597594,34.9249653
2019,2019,Import,Comoros,United Rep. of Tanzania,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,4374,,,,
2020,2020,Import,Comoros,World,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,5079860,,,-36.8535712,174.7456809
2020,2020,Import,Comoros,Belgium,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,26878,,,50.6402809,4.6667145
2020,2020,Import,Comoros,France,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,217720,,,46.603354,1.8883335
2020,2020,Import,Comoros,Indonesia,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1615740,,,-2.4833826,117.8902853
2020,2020,Import,Comoros,Italy,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,22732,,,42.6384261,12.674297
2020,2020,Import,Comoros,Kenya,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,177,,,1.4419683,38.4313975
2020,2020,Import,Comoros,Kuwait,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,500,,,29.2733964,47.4979476
