yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,World,World,45827,26.1551249,50.5344606,,
2006,2006,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,Qatar, Qatar,14237,26.1551249,50.5344606,,
2006,2006,Export,Bahrain,11,Products of the milling industry; malt; starches; inulin,Saudi Arabia, Saudi Arabia,24766,26.1551249,50.5344606,,
