yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,117000,30.8124247,34.8594762,39.89317229901691,61.060280637304274
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,185000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,1045000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,3607000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,138000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,26000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,1163000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,61000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,612000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,2531000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2002,2002,Export,Israel,4,Dairy produce; birds eggs; natural honey;,World,World,9663000,30.8124247,34.8594762,,
