yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,425105,32.3293809,-83.1137366,37.977378106878206,73.97804075806764
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,246699,32.3293809,-83.1137366,51.67568633314729,27.673469819741847
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern America,Americas,18636,32.3293809,-83.1137366,43.897683433510366,-100.08947125585888
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Northern Europe,Europe,78675,32.3293809,-83.1137366,59.36075159783851,25.01346951967388
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,78608,32.3293809,-83.1137366,10.528384761701911,103.08333472012376
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Asia,Asia,567463,32.3293809,-83.1137366,25.499703063807168,75.5024015339642
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,519831,32.3293809,-83.1137366,40.12399607988535,20.742583178432696
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,274,32.3293809,-83.1137366,6.06272746187266,22.727528470146083
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,3729823,32.3293809,-83.1137366,26.42921218083572,52.86847103284948
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,963455,32.3293809,-83.1137366,47.92172048214207,7.866753258497997
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,7016791,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, Armenia, Armenia,77278,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, Azerbaijan, Azerbaijan,112957,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, Cyprus, Cyprus,8,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, Israel, Israel,1681,32.3293809,-83.1137366,,
2008,2008,Import,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes, United Arab Emirates, United Arab Emirates,196296,32.3293809,-83.1137366,,
