yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue,rtLat,rtLon,ptLat,ptLon
2021,2021,Import,Turkey,World,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",15594818976,38.9597594,34.9249653,-36.8535712,174.7456809
2021,2021,Import,Turkey,Afghanistan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",288,38.9597594,34.9249653,33.7680065,66.2385139
2021,2021,Import,Turkey,Albania,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",212962,38.9597594,34.9249653,41.000028,19.9999619
2021,2021,Import,Turkey,Algeria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",1371294,38.9597594,34.9249653,28.0000272,2.9999825
2021,2021,Import,Turkey,Andorra,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",308,38.9597594,34.9249653,,
2021,2021,Import,Turkey,Antigua and Barbuda,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",155,38.9597594,34.9249653,17.2234721,-61.9554608
2021,2021,Import,Turkey,Azerbaijan,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",63904,38.9597594,34.9249653,40.3936294,47.7872508
2021,2021,Import,Turkey,Argentina,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",985507,38.9597594,34.9249653,-34.9964963,-64.9672817
2021,2021,Import,Turkey,Australia,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",553262,38.9597594,34.9249653,-24.7761086,134.755
2021,2021,Import,Turkey,Austria,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",184099086,38.9597594,34.9249653,47.59397,14.12456
2021,2021,Import,Turkey,Bahrain,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",473,38.9597594,34.9249653,26.1551249,50.5344606
2021,2021,Import,Turkey,Bangladesh,87,"Vehicles; other than railway or tramway rolling stock, and parts and accessories thereof",3102,38.9597594,34.9249653,24.4769288,90.2934413
