yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,28304,25.62,42.35,47.92172048214207,7.866753258497997
2006,2006,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,351402,25.62,42.35,,
2006,2006,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Kuwait, Kuwait,91856,25.62,42.35,,
2006,2006,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Morocco, Morocco,35781,25.62,42.35,,
2006,2006,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,Pakistan, Pakistan,39252,25.62,42.35,,
2006,2006,Re-Export,Saudi Arabia,35,Albuminoidal substances; modified starches; glues; enzymes,United Arab Emirates, United Arab Emirates,29373,25.62,42.35,,
