yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,6000,30.8124247,34.8594762,-16.85099460447687,133.4130365630627
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,37000,30.8124247,34.8594762,37.977378106878206,73.97804075806764
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Eastern Europe,Europe,168000,30.8124247,34.8594762,51.67568633314729,27.673469819741847
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Latin America and the Caribbean,Americas,109000,30.8124247,34.8594762,17.925141963241547,-78.01492950057497
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,4000,30.8124247,34.8594762,19.569604022535763,12.47761721199581
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,15174000,30.8124247,34.8594762,43.897683433510366,-100.08947125585888
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,10076000,30.8124247,34.8594762,59.36075159783851,25.01346951967388
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,127000,30.8124247,34.8594762,10.528384761701911,103.08333472012376
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,6465000,30.8124247,34.8594762,40.12399607988535,20.742583178432696
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Sub-Saharan Africa,Africa,85000,30.8124247,34.8594762,6.06272746187266,22.727528470146083
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,358000,30.8124247,34.8594762,26.42921218083572,52.86847103284948
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,10044000,30.8124247,34.8594762,47.92172048214207,7.866753258497997
2002,2002,Import,Israel,11,Products of the milling industry; malt; starches; inulin,World,World,42823000,30.8124247,34.8594762,,
