yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Europe,Europe,24298
2006,2006,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,Southern Europe,Europe,96
2006,2006,Export,Georgia,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,60203
