yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,23083754,31.1667049,36.941628,-16.85099460447687,133.4130365630627
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Central Asia,Asia,10882,31.1667049,36.941628,39.89317229901691,61.060280637304274
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,31560,31.1667049,36.941628,37.977378106878206,73.97804075806764
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,8715075,31.1667049,36.941628,51.67568633314729,27.673469819741847
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,8565520,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,5127381,31.1667049,36.941628,17.925141963241547,-78.01492950057497
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,774375,31.1667049,36.941628,43.897683433510366,-100.08947125585888
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,7746679,31.1667049,36.941628,59.36075159783851,25.01346951967388
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,4708435,31.1667049,36.941628,10.528384761701911,103.08333472012376
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,9715,31.1667049,36.941628,25.499703063807168,75.5024015339642
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,505754,31.1667049,36.941628,40.12399607988535,20.742583178432696
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,18938,31.1667049,36.941628,6.06272746187266,22.727528470146083
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,2738881,31.1667049,36.941628,26.42921218083572,52.86847103284948
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,39457834,31.1667049,36.941628,47.92172048214207,7.866753258497997
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,World,World,125026794,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Bahrain, Bahrain,39669,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Cyprus, Cyprus,277836,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Kuwait, Kuwait,941362,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Lebanon, Lebanon,34131,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Morocco, Morocco,9703358,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Oman, Oman,63271,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Saudi Arabia, Saudi Arabia,8835742,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,State of Palestine, State of Palestine,84147,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,United Arab Emirates, United Arab Emirates,1154912,31.1667049,36.941628,,
2005,2005,Import,Jordan,4,Dairy produce; birds eggs; natural honey;,Yemen, Yemen,7069,31.1667049,36.941628,,
