yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Australia and New Zealand,Oceania,245273
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Eastern Asia,Asia,6777959
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Eastern Europe,Europe,1002069
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Latin America and the Caribbean,Americas,286289
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Northern Africa,Africa,128436
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Northern America,Americas,3124531
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Northern Europe,Europe,13477709
1999,1999,Import,Cyprus,39,Plastics and articles thereof,South-eastern Asia,Asia,2731915
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Southern Asia,Asia,851
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Southern Europe,Europe,31030030
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Western Asia,Asia,129557
1999,1999,Import,Cyprus,39,Plastics and articles thereof,Western Europe,Europe,27473256
1999,1999,Import,Cyprus,39,Plastics and articles thereof,World,World,101075888
