yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Eastern Europe,Europe,481974
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Latin America and the Caribbean,Americas,23287
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Northern Africa,Africa,142603
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Northern America,Americas,734402
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Northern Europe,Europe,178535
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",South-eastern Asia,Asia,10605541
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Southern Europe,Europe,315787
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Sub-Saharan Africa,Africa,73389
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Western Asia,Asia,70567
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",Western Europe,Europe,4920139
2011,2011,Export,Comoros,9,"Coffee, tea, matΦ and spices",World,World,20642494
