yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,593952
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,4298
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,17284269
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Latin America and the Caribbean,Americas,685503
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,1531975
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,5132042
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Asia,Asia,120317
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,514577
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,214518
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,4648901
2006,2006,Import,Georgia,4,Dairy produce; birds eggs; natural honey;,World,World,31508882
