yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Australia and New Zealand,Oceania,1550491,34.9823018,33.1451285,-16.85099460447687,133.4130365630627
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Asia,Asia,25256,34.9823018,33.1451285,37.977378106878206,73.97804075806764
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Eastern Europe,Europe,12647,34.9823018,33.1451285,51.67568633314729,27.673469819741847
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Egypt,Egypt,5836,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern America,Americas,2584391,34.9823018,33.1451285,43.897683433510366,-100.08947125585888
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Northern Europe,Europe,16679900,34.9823018,33.1451285,59.36075159783851,25.01346951967388
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,South-eastern Asia,Asia,450,34.9823018,33.1451285,10.528384761701911,103.08333472012376
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Southern Europe,Europe,2607253,34.9823018,33.1451285,40.12399607988535,20.742583178432696
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Sub-Saharan Africa,Africa,18370,34.9823018,33.1451285,6.06272746187266,22.727528470146083
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Asia,Asia,41988,34.9823018,33.1451285,26.42921218083572,52.86847103284948
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,Western Europe,Europe,6773864,34.9823018,33.1451285,47.92172048214207,7.866753258497997
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;,World,World,39523574,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Bahrain, Bahrain,182624,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Israel, Israel,211113,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Jordan, Jordan,433614,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Kuwait, Kuwait,2082224,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Lebanon, Lebanon,535286,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Oman, Oman,166018,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Qatar, Qatar,413620,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Saudi Arabia, Saudi Arabia,1845026,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, State of Palestine, State of Palestine,8011,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, United Arab Emirates, United Arab Emirates,3044344,34.9823018,33.1451285,,
2006,2006,Export,Cyprus,4,Dairy produce; birds eggs; natural honey;, Yemen, Yemen,176412,34.9823018,33.1451285,,
