yr,periodDesc,rgDesc,rtTitle,ptTitle,cmdCode,cmdDescE,TradeValue_export,rtLat,rtLon,ptLat_export,ptLon_export,mid,TradeValue_import,ptLat_import,ptLon_import
2018.0,2018.0,Export,Kuwait,World,1.0,Animals; live,54960026.0,,,-36.8535712,174.7456809,12018Kuwait,218769772.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,2.0,Meat and edible meat offal,41344305.0,,,-36.8535712,174.7456809,22018Kuwait,577678106.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,3.0,"Fish and crustaceans, molluscs and other aquatic invertebrates",2008781.0,,,-36.8535712,174.7456809,32018Kuwait,193906449.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,4.0,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",130352197.0,,,-36.8535712,174.7456809,42018Kuwait,596373401.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,5.0,Animal originated products; not elsewhere specified or included,468111.0,,,-36.8535712,174.7456809,52018Kuwait,1057110.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,6.0,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",574520.0,,,-36.8535712,174.7456809,62018Kuwait,33055292.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,7.0,Vegetables and certain roots and tubers; edible,8248927.0,,,-36.8535712,174.7456809,72018Kuwait,385793651.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,8.0,"Fruit and nuts, edible; peel of citrus fruit or melons",90387371.0,,,-36.8535712,174.7456809,82018Kuwait,504939815.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,9.0,"Coffee, tea, mate and spices",14596035.0,,,-36.8535712,174.7456809,92018Kuwait,165356145.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,10.0,Cereals,1949205.0,,,-36.8535712,174.7456809,102018Kuwait,597480115.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,11.0,"Products of the milling industry; malt, starches, inulin, wheat gluten",52336670.0,,,-36.8535712,174.7456809,112018Kuwait,20191922.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,12.0,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1583981.0,,,-36.8535712,174.7456809,122018Kuwait,74313602.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,13.0,"Lac; gums, resins and other vegetable saps and extracts",1052662.0,,,-36.8535712,174.7456809,132018Kuwait,10017773.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,14.0,Vegetable plaiting materials; vegetable products not elsewhere specified or included,12436.0,,,-36.8535712,174.7456809,142018Kuwait,1221784.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,15.0,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,7609743.0,,,-36.8535712,174.7456809,152018Kuwait,201662960.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,16.0,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",7466415.0,,,-36.8535712,174.7456809,162018Kuwait,113569456.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,17.0,Sugars and sugar confectionery,13088721.0,,,-36.8535712,174.7456809,172018Kuwait,122226649.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,18.0,Cocoa and cocoa preparations,3216807.0,,,-36.8535712,174.7456809,182018Kuwait,195105072.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,19.0,"Preparations of cereals, flour, starch or milk; pastrycooks' products",44307158.0,,,-36.8535712,174.7456809,192018Kuwait,365274534.0,-36.8535712,174.7456809
2018.0,2018.0,Export,Kuwait,World,20.0,"Preparations of vegetables, fruit, nuts or other parts of plants",79814123.0,,,-36.8535712,174.7456809,202018Kuwait,254195403.0,-36.8535712,174.7456809
