yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Australia and New Zealand,Oceania,1335,26.1551249,50.5344606,-16.85099460447687,133.4130365630627
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Eastern Asia,Asia,36356,26.1551249,50.5344606,37.977378106878206,73.97804075806764
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Northern Africa,Africa,253,26.1551249,50.5344606,19.569604022535763,12.47761721199581
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Northern America,Americas,351029,26.1551249,50.5344606,43.897683433510366,-100.08947125585888
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Northern Europe,Europe,237380,26.1551249,50.5344606,59.36075159783851,25.01346951967388
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,South-eastern Asia,Asia,244135,26.1551249,50.5344606,10.528384761701911,103.08333472012376
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Southern Asia,Asia,33199,26.1551249,50.5344606,25.499703063807168,75.5024015339642
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Southern Europe,Europe,67157,26.1551249,50.5344606,40.12399607988535,20.742583178432696
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Western Asia,Asia,4103,26.1551249,50.5344606,26.42921218083572,52.86847103284948
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,Western Europe,Europe,764583,26.1551249,50.5344606,47.92172048214207,7.866753258497997
2006,2006,Import,Bahrain,11,Products of the milling industry; malt; starches; inulin,World,World,2958141,26.1551249,50.5344606,,
