yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Sub-region,Region,TradeValue
2019,2019,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Eastern Asia,Asia,9741
2019,2019,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,South-eastern Asia,Asia,44
2019,2019,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Sub-Saharan Africa,Africa,132
2019,2019,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Western Asia,Asia,40
2019,2019,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,Western Europe,Europe,380
2019,2019,Import,Comoros,35,Albuminoidal substances; modified starches; glues; enzymes,World,World,44927
