yr,periodDesc,rgDesc,rtTitle,cmdCode,cmdDescE,Subregion,Region,TradeValue,rtLat,rtLon,ptLon,ptLat
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Asia,Asia,943639,40.7696272,44.6736646,37.977378106878206,73.97804075806764
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Eastern Europe,Europe,1608502,40.7696272,44.6736646,51.67568633314729,27.673469819741847
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern America,Americas,65116,40.7696272,44.6736646,43.897683433510366,-100.08947125585888
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Northern Europe,Europe,702447,40.7696272,44.6736646,59.36075159783851,25.01346951967388
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Southern Europe,Europe,28243,40.7696272,44.6736646,40.12399607988535,20.742583178432696
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Asia,Asia,604344,40.7696272,44.6736646,26.42921218083572,52.86847103284948
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,Western Europe,Europe,17507,40.7696272,44.6736646,47.92172048214207,7.866753258497997
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,World,World,4095215,40.7696272,44.6736646,,
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Georgia, Georgia,57600,40.7696272,44.6736646,,
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, Pakistan, Pakistan,50165,40.7696272,44.6736646,,
2014,2014,Import,Armenia,36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations, United Arab Emirates, United Arab Emirates,4134,40.7696272,44.6736646,,
